date,under_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_over
02.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
03.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
04.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
05.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
06.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
07.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
08.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
09.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
10.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
11.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
12.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
13.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
14.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
15.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
16.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
17.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
18.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
19.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
20.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
21.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
22.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
23.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
24.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
25.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
26.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
27.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
28.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
29.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
30.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
31.05.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
01.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
02.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
03.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
04.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
05.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
06.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
07.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
08.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
09.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
10.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
11.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
12.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
13.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
14.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
15.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
16.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
17.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
18.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
19.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
20.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
21.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
22.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
23.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
24.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
25.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
26.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
27.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
28.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
29.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
30.06.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
01.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
02.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
03.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
04.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
05.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
06.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
07.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
08.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
09.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
10.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
11.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
12.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
13.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
14.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
15.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
16.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
17.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
18.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
19.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
20.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
21.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
22.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
23.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
24.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
25.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
26.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
27.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
28.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
29.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
30.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
31.07.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
01.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
02.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
03.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
04.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
05.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
06.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
07.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
08.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
09.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
10.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
11.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
12.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
13.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
14.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
15.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
16.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
17.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
18.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
19.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
20.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
21.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
22.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
23.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
24.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
25.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
26.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
27.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
28.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
29.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
30.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
31.08.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
01.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
02.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
03.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
04.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
05.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
06.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
07.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
08.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
09.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
10.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
11.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
12.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
13.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
14.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
15.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
16.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
17.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
18.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
19.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
20.09.2023,9726,6961,23582,27805,22479,14857,12157,8961,6122
,,,,,,,,,
